S.No.,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls/per 90,Ast/per 90,xG/expexted season,xA/expected season,xG/per 90,xA/per 90,Season
36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,22,21,"1,800",20,0,2,5,1,0,0.1,2.1,0.8,0.1,0.04,2022/2023
37,Adu Ares,es ESP,"FW,MF",Athletic Club,20,2001,8,0,84,0.9,0,0,0,0,0,0,0.1,0.2,0.11,0.19,2022/2023
38,Sergio Arribas,es ESP,"MF,FW",Real Madrid,20,2001,2,0,19,0.2,0,0,0,0,0,0,0.2,0,0.74,0.14,2022/2023
39,Roberto Arroyo,es ESP,MF,Valladolid,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,2022/2023
40,Ricard Artero,es ESP,"MF,FW",Girona,19,2003,7,0,133,1.5,0,0,0,0,0,0,0.5,0,0.35,0,2022/2023
41,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24,1998,12,5,483,5.4,0,0,0,0,0,0,0.2,0.5,0.04,0.09,2022/2023
42,Sergio Asenjo,es ESP,GK,Valladolid,33,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,2022/2023
43,Marco Asensio,es ESP,"FW,MF",Real Madrid,26,1996,31,15,"1,442",16,9,6,1,0,0.56,0.37,6.3,4.9,0.39,0.3,2022/2023
44,Iago Aspas,es ESP,FW,Celta Vigo,34,1987,37,31,"2,868",31.9,12,3,6,0,0.38,0.09,11.1,5.6,0.35,0.18,2022/2023
45,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33,1989,1,0,9,0.1,0,0,0,0,0,0,0.1,0,1.18,0,2022/2023
46,Ludwig Augustinsson,se SWE,DF,Mallorca,28,1994,4,1,132,1.5,0,0,0,0,0,0,0,0,0,0.02,2022/2023
47,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,28,1994,29,23,"1,709",19,8,2,7,1,0.42,0.11,6.7,1.7,0.35,0.09,2022/2023
48,Iddrisu Baba,gh GHA,"MF,DF",Mallorca,26,1996,29,20,"1,705",18.9,0,0,5,0,0,0,0.6,0.2,0.03,0.01,2022/2023
49,Srđan Babić,rs SRB,DF,Almería,26,1996,34,33,"2,998",33.3,3,0,5,0,0.09,0,1.2,0.3,0.04,0.01,2022/2023
50,Loïc Bade,fr FRA,DF,Sevilla,22,2000,19,16,"1,449",16.1,1,0,4,0,0.06,0,0.3,0.1,0.02,0.01,2022/2023
51,Édgar Badía,es ESP,GK,Elche,30,1992,36,36,"3,240",36,0,0,2,0,0,0,0,0,0,0,2022/2023
52,Alex Baena,es ESP,"MF,FW",Villarreal,21,2001,35,19,"1,947",21.6,6,2,13,1,0.28,0.09,3.9,5.2,0.18,0.24,2022/2023
53,Alejandro Balde,es ESP,DF,Barcelona,18,2003,33,30,"2,471",27.5,1,6,4,0,0.04,0.22,1.9,4.9,0.07,0.18,2022/2023
54,Mikel Balenziaga,es ESP,DF,Athletic Club,34,1988,3,1,115,1.3,0,0,0,0,0,0,0,0,0.02,0,2022/2023
55,Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,37,37,"3,232",35.9,0,0,6,0,0,0,0.3,2.8,0.01,0.08,2022/2023
56,Léo Baptistão,br BRA,"FW,MF",Almería,29,1992,28,24,"1,726",19.2,5,1,7,0,0.26,0.05,4.9,1.2,0.26,0.06,2022/2023
57,Keidi Bare,al ALB,MF,Espanyol,24,1997,18,4,503,5.6,0,1,0,0,0,0.18,0.6,0.2,0.1,0.04,2022/2023
58,Kike Barja,es ESP,"FW,MF",Osasuna,25,1997,27,15,"1,312",14.6,1,6,1,0,0.07,0.41,1.2,3.9,0.08,0.26,2022/2023
59,Ander Barrenetxea,es ESP,"FW,DF",Real Sociedad,20,2001,23,9,878,9.8,3,1,4,0,0.31,0.1,3,1.2,0.31,0.12,2022/2023
60,Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,21,6,724,8,0,1,4,0,0,0.12,0.5,0.7,0.07,0.08,2022/2023
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,15,8,686,7.6,0,0,5,0,0,0,0.2,0,0.02,0.01,2022/2023
62,Bebé,cv CPV,FW,Rayo Vallecano,32,1990,4,0,60,0.7,0,0,1,0,0,0,0.1,0.1,0.12,0.13,2022/2023
63,Héctor Bellerín,es ESP,DF,Barcelona,27,1995,3,1,143,1.6,0,0,0,0,0,0,0,0.1,0,0.06,2022/2023
64,Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,36,33,"2,855",31.7,0,2,4,0,0,0.06,0.9,1.7,0.03,0.05,2022/2023
65,Iker Benito,es ESP,"FW,MF",Osasuna,19,2002,4,2,176,2,0,0,0,0,0,0,0,0.3,0,0.14,2022/2023
66,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,24,24,"2,038",22.6,19,3,1,0,0.84,0.13,21.5,5.8,0.95,0.26,2022/2023
67,Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,29,27,"2,406",26.7,1,1,9,1,0.04,0.04,1.3,1.4,0.05,0.05,2022/2023
68,Álex Berenguer,es ESP,FW,Athletic Club,27,1995,37,26,"2,297",25.5,4,1,2,0,0.16,0.04,4.3,4.6,0.17,0.18,2022/2023
69,Pedro Bigas,es ESP,DF,Elche,31,1990,28,25,"2,020",22.4,0,0,4,2,0,0,1.8,0,0.08,0,2022/2023
70,El Bilal Touré,ml MLI,FW,Almería,20,2001,21,15,"1,264",14,7,2,0,0,0.5,0.14,6.3,1.3,0.45,0.09,2022/2023
71,Lautaro Blanco,ar ARG,"DF,MF",Elche,23,1999,17,9,872,9.7,0,2,2,0,0,0.21,0,1.5,0,0.16,2022/2023
