Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
402,Gerard Piqué,es ESP,DF,Barcelona,31,1987,35,4,18,10,55.6,0.51,0.29,0.22,0.4,8,0,0,0,3.3,3.3,0.19,0.7,0.7,2018-19
403,Carles Planas,es ESP,DF,Girona,27,1991,4.7,0,1,0,0,0.21,0,0,,17.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,2018-19
404,Óscar Plano,es ESP,MFFW,Valladolid,27,1991,29.9,3,46,14,30.4,1.54,0.47,0.07,0.21,18.8,1,0,0,4.2,4.2,0.09,-1.2,-1.2,2018-19
405,Stiven Plaza,ec ECU,FWMF,Valladolid,19,1999,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
406,Pere Pons,es ESP,MF,Girona,25,1993,31,1,19,6,31.6,0.61,0.19,0.05,0.17,21,0,0,0,1.6,1.6,0.09,-0.6,-0.6,2018-19
407,Pedro Porro,es ESP,DF,Girona,18,1999,24.6,0,23,6,26.1,0.94,0.24,0,0,22.9,0,0,0,1.6,1.6,0.07,-1.6,-1.6,2018-19
408,Francisco Portillo,es ESP,MF,Getafe,28,1990,22.2,1,9,5,55.6,0.41,0.23,0.11,0.2,14,0,0,0,1.9,1.9,0.21,-0.9,-0.9,2018-19
409,Portu,es ESP,FWMF,Girona,26,1992,31.3,9,36,17,47.2,1.15,0.54,0.22,0.47,13.7,0,1,1,7.9,7.1,0.2,1.1,0.9,2018-19
410,Sergio Postigo,es ESP,DF,Levante,29,1988,16.1,1,6,2,33.3,0.37,0.12,0.17,0.5,10.6,0,0,0,0.9,0.9,0.15,0.1,0.1,2018-19
411,José Pozo,es ESP,MF,Rayo Vallecano,22,1996,18,3,22,10,45.5,1.22,0.56,0.14,0.3,18.5,0,0,0,2.6,2.6,0.12,0.4,0.4,2018-19
412,Sanjin Prcić,ba BIH,MF,Levante,24,1993,5.9,0,8,1,12.5,1.35,0.17,0,0,28.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,2018-19
413,Quincy Promes,nl NED,FWDF,Sevilla,26,1992,17.6,2,30,4,13.3,1.71,0.23,0.07,0.5,20.9,0,0,1,2.9,2,0.07,-0.9,0,2018-19
414,Javi Puado,es ESP,FWMF,Espanyol,20,1998,4,0,8,2,25,2.01,0.5,0,0,15.4,0,0,0,0.9,0.9,0.11,-0.9,-0.9,2018-19
415,Riqui Puig,es ESP,MF,Barcelona,18,1999,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
416,Jorge Pulido,es ESP,DF,Huesca,27,1991,30.9,3,19,7,36.8,0.61,0.23,0.16,0.43,12.8,0,0,0,2.5,2.5,0.13,0.5,0.5,2018-19
417,Xavi Quintillà,es ESP,DF,Villarreal,21,1996,7,0,3,0,0,0.43,0,0,,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2018-19
418,Dani Raba,es ESP,MFFW,Villarreal,22,1995,2.1,0,2,0,0,0.94,0,0,,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2018-19
419,Rafinha,br BRA,FWMF,Barcelona,25,1993,2.5,0,2,0,0,0.81,0,0,,17.8,0,0,0,0.4,0.4,0.2,-0.4,-0.4,2018-19
420,Ivan Rakitić,hr CRO,MF,Barcelona,30,1988,29.4,3,36,11,30.6,1.23,0.37,0.08,0.27,22.8,0,0,0,2.6,2.6,0.07,0.4,0.4,2018-19
421,Jonás Ramalho,es ESP,DF,Girona,25,1993,18,1,7,2,28.6,0.39,0.11,0.14,0.5,11.1,0,0,0,0.8,0.8,0.11,0.2,0.2,2018-19
422,Sandro Ramírez,es ESP,FWMF,Real Sociedad,23,1995,11.7,0,42,12,28.6,3.58,1.02,0,0,19.5,4,0,0,2.5,2.5,0.06,-2.5,-2.5,2018-19
423,Iván Ramis,es ESP,DF,Eibar,33,1984,18.6,0,17,3,17.6,0.91,0.16,0,0,11.8,0,0,0,1.3,1.3,0.08,-1.3,-1.3,2018-19
424,Chris Ramos,es ESP,FW,Valladolid,21,1997,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
425,Sergio Ramos,es ESP,DF,Real Madrid,32,1986,27.5,6,26,8,30.8,0.95,0.29,0.04,0.13,16.4,3,5,5,7.1,3.2,0.12,-1.1,-2.2,2018-19
426,Recio,es ESP,MF,Leganés,27,1991,14.3,0,10,4,40,0.7,0.28,0,0,23.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,2018-19
427,Sergio Reguilón,es ESP,DF,Real Madrid,21,1996,12.4,0,6,0,0,0.48,0,0,,20.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,2018-19
428,Diego Reyes,mx MEX,DF,Leganés,25,1992,3.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
429,Mikel Rico,es ESP,MF,Athletic Club,33,1984,2.7,0,3,1,33.3,1.12,0.37,0,0,12.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,2018-19
430,Asier Riesgo,es ESP,GK,Eibar,34,1983,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
431,Cristian Rivera,es ESP,MF,Huesca,21,1997,18.8,2,14,6,42.9,0.74,0.32,0.14,0.33,18.9,0,0,0,1.7,1.7,0.12,0.3,0.3,2018-19
432,Rober,es ESP,DF,Levante,23,1995,31.7,1,8,1,12.5,0.25,0.03,0.13,1,8.9,0,0,0,0.9,0.9,0.11,0.1,0.1,2018-19
433,Sergi Roberto,es ESP,DFMF,Barcelona,26,1992,23.2,0,9,1,11.1,0.39,0.04,0,0,14.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,2018-19
434,Patrick Roberts,eng ENG,MFFW,Girona,21,1997,6.7,0,7,5,71.4,1.05,0.75,0,0,16.4,0,0,0,0.8,0.8,0.12,-0.8,-0.8,2018-19
435,Joel Robles,es ESP,GK,Betis,28,1990,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2018-19
