Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
116,Jasper Cillessen,nl NED,GK,Valencia,32,1989,16.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,12.2,2,19,5,26.3,1.56,0.41,0.11,0.4,26.8,2,0,0,1.7,1.7,0.09,0.3,0.3,2021-22
118,Carlos Clerc,es ESP,DF,Levante,29,1992,16.8,0,2,0,0,0.12,0,0,,16.5,0,0,0,0.4,0.4,0.19,-0.4,-0.4,2021-22
119,Coke,es ESP,DF,Levante,34,1987,1.3,1,1,1,100,0.76,0.76,1,1,2.4,0,0,0,0.6,0.6,0.62,0.4,0.4,2021-22
120,Álex Collado,es ESP,MFFW,Granada,22,1999,11.3,2,17,8,47.1,1.5,0.71,0.12,0.25,25.2,1,0,0,1.1,1.1,0.07,0.9,0.9,2021-22
121,Eray Cömert,ch SUI,DF,Valencia,23,1998,4.5,0,3,1,33.3,0.66,0.22,0,0,8.8,0,0,0,0.4,0.4,0.14,-0.4,-0.4,2021-22
122,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,29.8,1,32,5,15.6,1.07,0.17,0.03,0.2,13.4,1,0,0,3.9,3.9,0.12,-2.9,-2.9,2021-22
123,Diego Conde,es ESP,GK,Getafe,22,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
124,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,9.2,2,5,2,40,0.54,0.22,0.4,1,13.2,0,0,0,0.4,0.4,0.07,1.6,1.6,2021-22
125,Jesús Corona,mx MEX,FWDF,Sevilla,28,1993,12.9,2,12,3,25,0.93,0.23,0.17,0.67,13.1,0,0,0,2.2,2.2,0.19,-0.2,-0.2,2021-22
126,Ángel Correa,ar ARG,FWMF,Atlético Madrid,26,1995,20.6,12,50,23,46,2.42,1.12,0.24,0.52,17,0,0,0,7.6,7.6,0.15,4.4,4.4,2021-22
127,Thierry Correia,pt POR,DF,Valencia,22,1999,15.7,0,3,1,33.3,0.19,0.06,0,0,20,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2021-22
128,Hélder Costa,ao ANG,MFFW,Valencia,27,1994,12.4,0,9,2,22.2,0.72,0.16,0,0,17.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,2021-22
129,Jaume Costa,es ESP,DF,Mallorca,33,1988,20.3,0,11,2,18.2,0.54,0.1,0,0,19.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,2021-22
130,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2021-22
131,Philippe Coutinho,br BRA,MFFW,Barcelona,29,1992,5.6,2,23,6,26.1,4.12,1.07,0.04,0.17,19,2,1,1,3.3,2.6,0.11,-1.3,-1.6,2021-22
132,Cristo,es ESP,DF,Real Sociedad,21,2000,0.2,0,1,0,0,5.29,0,0,,33.6,0,0,0,0,0,0.01,0,0,2021-22
133,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,21.5,0,3,0,0,0.14,0,0,,17.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2021-22
134,Marc Cucurella,es ESP,MFDF,Getafe,23,1998,0.3,0,1,0,0,3.91,0,0,,18.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2021-22
135,Jorge Cuenca,es ESP,DF,Getafe,21,1999,29.8,1,16,7,43.8,0.54,0.23,0.06,0.14,12.4,0,0,0,1.1,1.1,0.07,-0.1,-0.1,2021-22
136,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,11.8,6,37,14,37.8,3.13,1.19,0.16,0.43,15.4,0,0,0,6,6,0.16,0,0,2021-22
